,url,target
0,https://www.gala.fr/l_actu/news_de_stars/charlotte_gainsbourg_et_yvan_attal_in_love_et_assortis_a_los_angeles_367573,"[184, 358]"
1,https://www.regal.fr/recettes/accompagnements/panisses-10436,[122]
2,https://mobile-dictionary.reverso.net/francais-definition/[vigoure,"[692, 1265, 108, 1494, 474]"
3,https://fr.shopping.rakuten.com/offer/buy/4045108755/zero-gravity-rebirth-and-evolution.html,[531]
4,http://pique.assiette.over-blog.com/article-gateau-leger-au-fromage-blanc-et-confiture-d-orange-amere-75886106.html,"[907, 122]"
5,https://www.marmiton.org/recettes/recette_terrine-de-poisson-rapide_227812.aspx,"[907, 122]"
6,"https://www.automobile.fr/Voiture/Audi-A4-1.8-TFSI-Ambition/vhc:car,cnt:de,loc:cologne%252C%252C+allemagne,rng:300,ms1:1900_9_,frn:2010,prx:8000,ful:petrol!diesel,mlx:200000,dmg:false,vcg:limousine/pg:vipcar/289538496.html","[1686, 1687]"
7,https://euw.op.gg/summoner/userName=the+sommelier,"[381, 1343]"
8,https://www.societe.com/societe/lisega-314867144.html,[377]
9,https://www.ouest-france.fr/pays-de-la-loire/cholet-49300/jeremy-thomas-de-metallier-designer-1382536,[184]
10,"https://www.automobile.fr/voiture/bmw-m3/vhc:car,srt:price,sro:asc,ms1:3500_45_,frn:2007,frx:2010,mlx:125000,dmg:false,vcg:","[1686, 1687]"
11,https://www.programme-tv.net/news/tv/245559-jean-luc-lemoine-enora-malagre-gerard-louvin-ils-ont-decide-de-quitter-tpmp-que-deviennent-ils-aujourdhui-photos,[184]
12,https://www.dailymotion.com/video/x7lyksi,[211]
13,https://www.marmiton.org/recettes/recette_cake-jambon-fromage-de-ma-grand-mere_254382.aspx,"[907, 122]"
14,https://tvmag.lefigaro.fr/programme-tv/programme/enquete-exclusive-f156912926,[358]
15,https://mots-croises.tazzaz.com/definition/chaussure-de-bal.html,[1494]
16,https://www.marmiton.org/recettes/recette-avis_feuilletes-au-chevre-et-au-miel_23740.aspx,"[907, 122]"
17,https://www.listesdemots.net/c/a/5/motscontenantabisttaille.htm,[1494]
18,https://www.meteo60.fr/previsions-meteo-agricole-louvatange.html,"[63, 1254, 1119]"
19,https://chefsimon.com/gourmets/les-mets-tisses/recettes/galette-des-rois-vegetale,[907]
